Tribun 1,Baris,Nomor Kursi,Expected Data String)
Q Atas,23,551 - 571,
Q Atas,24,551 - 572,
Q Atas,25,551 - 573,
Q Atas,26,-,
Q Atas,27,551 - 579,
Q Atas,28,551 - 579,
Q Atas,29,551 - 580,
Q Atas,30,551 - 581,
Q Atas,31,551 - 582,
Q Atas,32,551 - 582,
Q Atas,33,551 - 583,
Q Atas,34,551 - 583,
P Bawah,1,301 - 337,
P Bawah,2,301 - 337,
P Bawah,3,301 - 337,
P Bawah,4,301 - 337,
P Bawah,5,301 - 338,
P Bawah,6,301 - 338,
P Bawah,7,301 - 339,
P Bawah,8,-,
P Bawah,9,301 - 331,
P Bawah,10,301 - 332,
P Bawah,11,301 - 332,
P Bawah,12,301 - 333,
P Bawah,13,301 - 333,
P Bawah,14,301 - 333,
P Bawah,15,301 - 334,
P Bawah,16,301 - 334,
P Bawah,17,301 - 335,
P Bawah,18,-,
Q Atas,19,501 -517,
Q Atas,20,501 -518,
Q Atas,21,501 -518,
Q Atas,22,501 -518,
Q Atas,23,501 -519,
Q Atas,24,501 -520,
Q Atas,25,501 -521,
Q Atas,26,-,
Q Atas,27,501 - 527,
Q Atas,28,501 - 528,
Q Atas,29,501 - 528,
Q Atas,30,501 - 529,
Q Atas,31,501 - 529,
Q Atas,32,501 - 530,
Q Atas,33,501 - 530,
Q Atas,34,501 - 531,
P Atas,19,451-467,
P Atas,20,451-467,
P Atas,21,451-467,
P Atas,22,451-468,
P Atas,23,451-468,
P Atas,24,451-468,
P Atas,25,451-469,
P Atas,26,-,
P Atas,27,451 - 475,
P Atas,28,451 - 475,
P Atas,29,451 - 476,
P Atas,30,451 - 476,
P Atas,31,451 - 477,
P Atas,32,451 - 477,
P Atas,33,451 - 477,
P Atas,34,451 - 478,
P Atas,19,401 - 417,
P Atas,20,401 - 417,
P Atas,21,401 - 417,
P Atas,22,401 - 417,
P Atas,23,401 - 417,
P Atas,24,401 - 417,
P Atas,25,401 - 417,
P Atas,26,-,
